144 6 0.947508 -0.142632
147 6 1.02163 -0.160364
150 6 1.10522 -0.176871
153 6 1.19744 -0.191219
156 6 1.29688 -0.202428
159 6 1.40164 -0.209661
162 6 1.50939 -0.212347
165 6 1.61754 -0.210089
168 6 1.72339 -0.202902
171 6 1.82437 -0.190977
174 6 1.91812 -0.174726
177 6 2.00252 -0.154701
180 6 2.07593 -0.131393
183 6 2.1371 -0.105198
186 6 2.18538 -0.0761948
189 6 2.22194 -0.0447044
192 6 2.25017 -0.0148506
195 6 0 0
198 6 0 0
0 9 0 0
3 9 0 0
6 9 0.991776 0.000778198
9 9 0.98946 0.00172043
12 9 0.986191 0.00266266
15 9 0.982071 0.00363159
18 9 0.976982 0.00463867
21 9 0.971039 0.00563049
24 9 0.964291 0.00665665
27 9 0.956665 0.00771332
30 9 0.948311 0.00874329
33 9 0.939159 0.00970078
36 9 0.929333 0.010746
39 9 0.918835 0.0117378
42 9 0.907698 0.0127087
45 9 0.896009 0.0136166
48 9 0.883802 0.0145016
51 9 0.871119 0.0153255
54 9 0.858017 0.0160446
57 9 0.844591 0.0167065
60 9 0.830891 0.0172691
63 9 0.816948 0.0177193
66 9 0.802916 0.0180378
69 9 0.788803 0.0181694
72 9 0.774723 0.0181694
75 9 0.760771 0.0179539
78 9 0.747021 0.01754
81 9 0.733593 0.0168629
84 9 0.720584 0.0159216
87 9 0.708114 0.0146685
90 9 0.696308 0.0130672
93 9 0.685294 0.0110598
96 9 0.675214 0.00858784
99 9 0.66624 0.00558376
102 9 0.658548 0.00194359
105 9 0.652362 -0.00244141
108 9 0.647921 -0.00772095
111 9 0.645529 -0.0140591
114 9 0.645545 -0.0216784
117 9 0.648396 -0.0308146
120 9 0.654625 -0.0417292
123 9 0.664863 -0.054711
126 9 0.679873 -0.0700236
129 9 0.700538 -0.0878872
132 9 0.727857 -0.108417
135 9 0.762895 -0.131569
138 9 0.806727 -0.157063
141 9 0.860332 -0.184341
144 9 0.924437 -0.21252
147 9 0.999419 -0.240419
150 9 1.08512 -0.266583
153 9 1.18071 -0.289456
156 9 1.28473 -0.307451
159 9 1.39501 -0.319217
162 9 1.50893 -0.32375
165 9 1.62345 -0.320578
168 9 1.73554 -0.309603
171 9 1.8423 -0.291258
174 9 1.94115 -0.266352
177 9 2.02994 -0.235729
180 9 2.107 -0.200413
183 9 2.17119 -0.16132
186 9 2.22199 -0.119377
189 9 2.2594 -0.0759544
192 9 2.28309 -0.0334129
195 9 0 0
198 9 0 0
0 12 0 0
3 12 0 0
6 12 0.993031 0.0013237
9 12 0.990726 0.00299454
12 12 0.987511 0.0045929
15 12 0.983376 0.00627136
18 12 0.978352 0.00790787
21 12 0.97242 0.00957489
24 12 0.96563 0.0112762
27 12 0.958008 0.0129242
30 12 0.949638 0.0145721
33 12 0.940483 0.0161743
36 12 0.930576 0.0177727
39 12 0.920071 0.0193062
42 12 0.908911 0.0207577
45 12 0.897144 0.0221672
48 12 0.884872 0.0235062
51 12 0.872099 0.0247326
54 12 0.858891 0.0258484
57 12 0.845345 0.0268288
60 12 0.831509 0.0276489
63 12 0.81743 0.0282917
66 12 0.8032 0.028759
69 12 0.788891 0.0289993
72 12 0.774614 0.0289936
75 12 0.760403 0.0287209
78 12 0.746374 0.0281277
81 12 0.732643 0.0272141
84 12 0.719288 0.025919
87 12 0.706441 0.024209
90 12 0.694188 0.0220194
93 12 0.682678 0.0193233
96 12 0.672025 0.0160112
99 12 0.662381 0.0120058
102 12 0.65391 0.00719452
105 12 0.646791 0.00141621
108 12 0.641237 -0.00550461
111 12 0.637505 -0.0138078
114 12 0.635918 -0.023756
117 12 0.636865 -0.035686
120 12 0.640846 -0.0499756
123 12 0.648494 -0.067041
126 12 0.66059 -0.0872924
129 12 0.678095 -0.111101
132 12 0.702156 -0.138714
135 12 0.734074 -0.170167
138 12 0.775233 -0.20518
141 12 0.826992 -0.243046
144 12 0.890495 -0.28258
147 12 0.966477 -0.322113
150 12 1.05505 -0.359554
153 12 1.15553 -0.392531
156 12 1.26627 -0.418711
159 12 1.38478 -0.43602
162 12 1.50785 -0.442978
165 12 1.63186 -0.438805
168 12 1.75312 -0.423664
171 12 1.86823 -0.398176
174 12 1.97433 -0.363638
177 12 2.06914 -0.321447
180 12 2.15096 -0.273186
183 12 2.21881 -0.220318
186 12 2.27197 -0.164268
